Rank | Name | MMR (unified) | Raw MMR | Games | W-L | Win%
----------------------------------------------------------------------
1 | Stephan | 4654 | 3797 | 727 | 328W-399L | 45.1%
2 | HahaLolo | 4418 | 3513 | 201 | 98W-103L | 48.8%
3 | Sirhc | 4271 | 3534 | 198 | 65W-133L | 32.8%
4 | shunmanFan | 4140 | 3397 | 541 | 232W-309L | 42.9%
5 | androidsine | 4018 | 3091 | 73 | 26W-47L | 35.6%
6 | DragonKing | 3829 | 2870 | 387 | 138W-249L | 35.7%
7 | ChrisO | 3694 | 2954 | 840 | 444W-396L | 52.9%
8 | LayManFan | 3522 | 2846 | 195 | 60W-135L | 30.8%
9 | Akumetsu | 3471 | 3471 | 11 | 3W-8L | 27.3%
10 | Tingmore | 3375 | 2821 | 619 | 241W-378L | 38.9%
11 | banzo | 3326 | 2316 | 201 | 73W-128L | 36.3%
12 | acvcritter | 3246 | 2292 | 41 | 15W-26L | 36.6%
13 | Redevilz | 3229 | 2562 | 355 | 122W-233L | 34.4%
14 | Cyrexg | 2925 | 2064 | 130 | 37W-93L | 28.5%
15 | GabG | 2722 | 2061 | 109 | 33W-76L | 30.3%
16 | sLAtER | 2706 | 2706 | 3 | 2W-1L | 66.7%
17 | wudok | 2663 | 2158 | 489 | 184W-305L | 37.6%
18 | Cotton | 2659 | 2659 | 24 | 10W-14L | 41.7%
19 | CapN | 2657 | 1805 | 18 | 4W-14L | 22.2%
20 | Jackal | 2588 | 2588 | 10 | 5W-5L | 50.0%
21 | steveMANgo | 2424 | 2424 | 8 | 1W-7L | 12.5%
22 | INterprime | 2401 | 1779 | 89 | 24W-65L | 27.0%
23 | VeyroN | 2276 | 2276 | 7 | 1W-6L | 14.3%
24 | Flank | 2266 | 2266 | 30 | 9W-21L | 30.0%
25 | IIIIIIIIIIII | 2236 | 2236 | 4 | 1W-3L | 25.0%
26 | Zeratul | 2217 | 2217 | 8 | 2W-6L | 25.0%
27 | Munners | 2174 | 2174 | 37 | 13W-24L | 35.1%
28 | Selendis | 2174 | 2174 | 14 | 1W-13L | 7.1%
29 | Cendol | 2125 | 2125 | 135 | 47W-88L | 34.8%
30 | rogomerlin | 2088 | 1244 | 16 | 3W-13L | 18.8%
